what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1449802073559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1449802098397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802103361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802103462
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1449802105731
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449802108402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802115775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802115788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802116707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802116752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802119869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802124434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802138633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802146060
activated,view,org.testng.eclipse,6.9.5.201506120235,"org.testng.eclipse.ResultView",1449802146764
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449802146976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802156226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802218927
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449802220694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802288475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802288540
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1449802303346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1449802313752
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449802317836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802325990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802326010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802326874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802326927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802330362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449802363128
activated,view,org.testng.eclipse,6.9.5.201506120235,"org.testng.eclipse.ResultView",1449802363155
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449802363378
