what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1451393482810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1451393483122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1451393483434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1451393483700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1451393483934
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1451393484168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393490798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393496913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1451393502950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1451393503153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1451393503340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393505540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393509315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393513215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393513308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1451393515976
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1451393517318
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1451393518956
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1451393518956
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1451393519424
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1451393519564
opened,view,org.testng.eclipse,6.9.5.201506120235,"org.testng.eclipse.ResultView",1451393520328
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1451393521967
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1451393522030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393526991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393528120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393532754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393532770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393534685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393534734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393537679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393559166
activated,view,org.testng.eclipse,6.9.5.201506120235,"org.testng.eclipse.ResultView",1451393559201
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1451393559454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393654161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393659545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393724347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393727757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393738788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393740534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393796522
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451393798270
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1451393798410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393804634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393808300
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451393808831
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451393808940
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1451393809673
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451393809751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393812200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393824088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1451393830374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393847550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451393847628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451393854757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1451393856458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1451393856863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1451393857238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1451393857721
