what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1447468750227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1447468750430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1447468750601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1447468750789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1447468750991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447468754860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447468759700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1447468765035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1447468765144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1447468774067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1447468788113
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1447468792258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447468794941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447468807859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447468809950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469046340
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1447469047971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1447469050342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1447469053165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469054431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469290418
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1447469292134
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1447469292227
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1447469294835
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1447469296332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469364690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469378429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469389201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469485260
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1447469486867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469490552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469497776
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1447469498322
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1447469498432
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1447469499305
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1447469499383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1447469501442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469502612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469507480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1447469512482
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1447469516896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1447469520565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469531450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469531466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469532215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469532266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469535108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469538774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469539570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469541931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469554908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469565923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469570510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469703406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469705075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469707387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469710026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469710042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469711758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469891682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1447469928172
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1447469985962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469992000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469993459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469998095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469998111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469998880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447469998925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470001748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470046868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1447470055545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470063083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470079038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1447470084053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1447470095723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470105273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470105290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470106036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470106093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470109167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470283504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1447470287638
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1447470288386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1447470288886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1447470292864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470294408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470848024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1447470856635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1447470861582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470868214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470869354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470874032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470874048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470874855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470874915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470877866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447470901374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1447470914188
