what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419420688
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448419420742
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448419434983
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1448419437982
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448419440086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1448419441915
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1448419443361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419444594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419451591
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448419452117
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448419452200
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1448419453208
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448419453278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448419455738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419462374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419490640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448419502176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419504861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419507483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419512364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419512463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419524951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419534706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419550971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419551062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419559012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419569316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419582720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419586308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419597631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419600750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419605555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419608788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419640434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419659091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448419663954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1448419678837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419690475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419703188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1448419720242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1448419752112
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448419755775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1448419761814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419765167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419765260
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448419768685
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448419772242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419775920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448419777849
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448419779925
