what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1449023631700
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1449023633151
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1449023634992
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1449023635148
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1449023635179
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1449023635865
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1449023636006
opened,view,org.testng.eclipse,6.9.5.201506120235,"org.testng.eclipse.ResultView",1449023636957
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449023639220
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449023639298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449023644150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449023645513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449023650811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449023650826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449023651632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449023651681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449023654756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449023669535
activated,view,org.testng.eclipse,6.9.5.201506120235,"org.testng.eclipse.ResultView",1449023669561
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449023669756
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449023682751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449023690296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449023691903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449024271655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449024274807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449024285630
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1449024285857
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1449024285893
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449024285945
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1449024286046
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449024286058
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1449024286081
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1449024286154
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1449024286159
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1449024286163
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1449024286249
