what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890350540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890357233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449890360462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890363566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890372646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449890375844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890379478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890386108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449890389119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890393409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890399993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449890403503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890406217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890414251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449890416794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890419820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890426684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449890429414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890431879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890440350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449890443205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1449890445498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890446855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890453064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449890459382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890464639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890518881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890521752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890534045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449890540706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449890558318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449890563248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890567101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890572748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449890591546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449890593059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890598597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890612091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1449890614338
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449890624556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449890628955
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449890629969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449890631046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1449890639953
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1449890642200
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1449890642761
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1449890642948
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1449890643042
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1449890643463
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1449890643604
opened,view,org.testng.eclipse,6.9.5.201506120235,"org.testng.eclipse.ResultView",1449890644306
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449890645555
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449890645648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890653059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890653075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890653878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890653922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890656876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449890680665
activated,view,org.testng.eclipse,6.9.5.201506120235,"org.testng.eclipse.ResultView",1449890680689
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449890680895
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449890685436
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1449890686574
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1449890690409
