what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1447727143963
java.specification.vendor,sysinfo,,,"Oracle Corporation",1447727143963
java.specification.version,sysinfo,,,"1.7",1447727143963
java.vendor,sysinfo,,,"Oracle Corporation",1447727143963
java.version,sysinfo,,,"1.7.0_55",1447727143963
java.vm.info,sysinfo,,,"mixed mode",1447727143963
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1447727143963
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1447727143963
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1447727143963
java.vm.specification.version,sysinfo,,,"1.7",1447727143963
java.vm.vendor,sysinfo,,,"Oracle Corporation",1447727143963
java.vm.version,sysinfo,,,"24.55-b03",1447727143963
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1447727144299
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1447727144381
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1447727144592
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1447727144772
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1447727144851
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1447727147059
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1447727148758
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1447727148760
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1447727148872
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1447727149015
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1447727149098
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1447727149215
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1447727149393
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1447728268576
